,CaseNumber,Country,Century,Year,Month,Type,Activities,Fatal,Sex,Age
3782,3782_Others,Others,XX,1960.0,Mar,Unprovoked,Spearfishing,N,M,44.0
3783,3783_Australia,Australia,XX,1960.0,Feb,Unprovoked,ShoreActivities,N,M,31.0
3784,3784_New Zealand,New Zealand,XX,1960.0,Feb,Unprovoked,Spearfishing,N,M,22.0
3785,3785_USA,USA,XX,1960.0,Feb,,Spearfishing,N,M,36.0
3786,3786_Others,Others,XX,1960.0,Feb,Provoked,Fishing,N,M,
3787,3787_Papua New Guinea,Papua New Guinea,XX,1960.0,Feb,Unprovoked,Spearfishing,Y,M,26.0
3788,3788_Australia,Australia,XX,1960.0,Feb,Provoked,Fishing,N,,
3789,3789_Australia,Australia,XX,1960.0,Feb,Provoked,Spearfishing,N,M,20.0
3790,3790_USA,USA,XX,1960.0,Feb,,Others,Y,,
3791,3791_Papua New Guinea,Papua New Guinea,XX,1960.0,Jan,Unprovoked,,N,M,
3792,3792_Others,Others,XX,1960.0,Jan,Unprovoked,Others,N,,
3793,3793_Australia,Australia,XX,1960.0,Jan,Unprovoked,,N,,
3794,3794_Australia,Australia,XX,1960.0,Jan,Unprovoked,Diving,Y,M,13.0
3795,3795_Australia,Australia,XX,1960.0,Jan,Provoked,Fishing,N,M,
3796,3796_Australia,Australia,XX,1960.0,Jan,Unprovoked,Others,N,,
3797,3797_South Africa,South Africa,XX,1960.0,Jan,Provoked,ShoreActivities,N,F,
3798,3798_Others,Others,XX,1960.0,,Unprovoked,Swimming,N,M,
3799,3799_Others,Others,XX,1960.0,,Unprovoked,Spearfishing,N,M,
3800,3800_Others,Others,XX,1960.0,,,Others,N,M,
3801,3801_Others,Others,XX,1960.0,,Unprovoked,Spearfishing,N,M,
3802,3802_Others,Others,XX,1960.0,,Unprovoked,Fishing,N,M,
3803,3803_Fiji,Fiji,XX,1960.0,,Unprovoked,Spearfishing,N,M,
3804,3804_Papua New Guinea,Papua New Guinea,XX,1960.0,,Unprovoked,Fishing,Y,M,16.0
3805,3805_Papua New Guinea,Papua New Guinea,XX,1960.0,,Unprovoked,Fishing,N,M,20.0
3806,3806_Others,Others,XX,1960.0,,Unprovoked,Swimming,Y,F,
3807,3807_South Africa,South Africa,XX,1960.0,,Unprovoked,ShoreActivities,N,F,
